area_code,area_name,count_of_rent,average_rental_price
E09000007,Camden,1810,2290
E09000001,City of London,110,2237
E09000012,Hackney,1000,2018
E09000013,Hammersmith and Fulham,1180,2340
E09000014,Haringey,1080,1781
E09000019,Islington,1140,2196
E09000020,Kensington and Chelsea,2730,3051
E09000022,Lambeth,1310,2007
E09000023,Lewisham,1790,1508
E09000025,Newham,2010,1645
E09000028,Southwark,2450,2001
E09000030,Tower Hamlets,1450,2028
E09000032,Wandsworth,2210,2123
E09000033,Westminster,1790,3154
E09000002,Barking and Dagenham,780,1353
E09000003,Barnet,2210,1702
E09000004,Bexley,530,1397
E09000005,Brent,580,1651
E09000006,Bromley,2290,1502
E09000008,Croydon,1820,1329
E09000009,Ealing,1420,1704
E09000010,Enfield,900,1500
E09000011,Greenwich,940,1652
E09000015,Harrow,1110,1598
E09000016,Havering,760,1324
E09000017,Hillingdon,1740,1423
E09000018,Hounslow,1480,1626
E09000021,Kingston upon Thames,530,1659
E09000024,Merton,620,1809
E09000026,Redbridge,1360,1467
E09000027,Richmond upon Thames,780,1935
E09000029,Sutton,1010,1303
E09000031,Waltham Forest,1300,1488
